,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/ChampionsLeague/status/1764606719785869424#m,An exciting new era for European club football awaits 🤩  Here’s how the #UCL will look from 2024/25 👇,UEFA Champions League,40398,10099,8561,4738
1,https://twitter.com/ChampionsLeague/status/1780325263752011983#m,A huge 45 minutes to come... ⏱️ (Agg: 4-3)   #UCL,UEFA Champions League,1618,18,127,121
2,https://twitter.com/ChampionsLeague/status/1780324972096860232#m,Dortmund have turned the tie on its head 🥵 (Agg: 3-2)   #UCL,UEFA Champions League,2564,30,165,81
3,https://twitter.com/ChampionsLeague/status/1780317973120487480#m,Yamal x Raphinha 🔥  #UCL,UEFA Champions League,6106,8,354,94
4,https://twitter.com/ChampionsLeague/status/1780313675145871679#m,👊  #UCL,UEFA Champions League,2837,3,131,87
5,https://twitter.com/ChampionsLeague/status/1780313118125576486#m,That Azpilicueta block 😮  #UCL,UEFA Champions League,5418,26,300,130
6,https://twitter.com/ChampionsLeague/status/1780310194133586420#m,Barcelona 🆚 Paris Dortmund 🆚 Altético  #UCL,UEFA Champions League,676,4,62,63
7,https://twitter.com/ChampionsLeague/status/1780303606303838344#m,"Style, style, style 👔  @JustEatTakeaway || #UCLprematch",UEFA Champions League,2833,16,240,106
8,https://twitter.com/ChampionsLeague/status/1780296416620884352#m,🎙️ Follow Barcelona vs Paris with #MatchdayLive ⚽️ Updates from Dortmund vs Atlético,UEFA Champions League,611,1,50,82
9,https://twitter.com/ChampionsLeague/status/1780128998829539441#m,We go again 🤩  #UCL,UEFA Champions League,26200,331,2763,382
